ci,na,co,lo,la,z
"Albany, NY",(GMT-05:00) Eastern Time (US & Canada),United States,42.65000153,-73.75,Eastern Standard Time
Albena,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Bulgaria,43.37083435,28.07666588,FLE Standard Time
"Albuquerque, NM",(GMT-07:00) Mountain Time (US & Canada),United States,35.0830574,-106.6500015,Mountain Standard Time
Albury,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-36.08222198,146.9102783,AUS Eastern Standard Time
"Alert, NU",(GMT-05:00) Eastern Time (US & Canada),Canada,82.46666718,-62.5,Eastern Standard Time
Alexandria,(GMT+02:00) Cairo,Egypt,31.2136116,29.94416618,Egypt Standard Time
Algiers,(GMT+01:00) West Central Africa,Algeria,36.76666641,3.049999952,W. Central Africa Standard Time
Alicante,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,38.34999847,-0.483333319,Romance Standard Time
Alice Springs,(GMT+09:30) Darwin,Australia,-23.70000076,133.8666687,AUS Central Standard Time
Almaty,(GMT+06:00) Central Asia,Kazakhstan,43.31666565,76.91666412,Central Asia Standard Time
Almeria,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,36.84999847,-2.466666698,Romance Standard Time
Alofi,(GMT-11:00) Midway Island,Niue,-19.04999924,-169.9166718,Midway Island Standard Time
Alupka,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,44.41666794,34.04999924,FLE Standard Time
Ambato,"(GMT-05:00) Bogota, Lima, Quito",Ecuador,-1.240277767,-78.62000275,SA Pacific Standard Time
Ambon,"(GMT+09:00) Osaka, Sapporo, Tokyo",Indonesia,-3.700000048,128.1666718,Tokyo Standard Time
"Amherst, NS",(GMT-04:00) Atlantic Time (Canada),Canada,45.83000183,-64.20527649,Atlantic Standard Time
Amiens,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,49.88333511,2.299999952,Romance Standard Time
Amman,(GMT+02:00) Jordan,Jordan,31.95000076,35.93333435,Jordan Standard Time
Amritsar,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,31.63333321,74.8666687,India Standard Time
Amsterdam,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,52.36666489,4.883333206,W. Europe Standard Time
Anadyr,(GMT+12:00) Magadan,Russia,64.73305511,177.5,Magadan Standard Time
Anapa,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,44.90000153,37.31666565,Russian Standard Time
"Anchorage, AK",(GMT-09:00) Alaska,United States,61.21666718,-149.8997192,Alaskan Standard Time
Ancona,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,43.61583328,13.51888847,W. Europe Standard Time
Andorra la Vella,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Andorra,42.5,1.516666651,Romance Standard Time
Ankara,(GMT+02:00) Turkey,Turkey,39.93333435,32.86639023,Turkey Standard Time
"Annapolis, MD",(GMT-05:00) Eastern Time (US & Canada),United States,38.97833252,-76.49250031,Eastern Standard Time
Anshan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,41.11666489,122.9833298,China Standard Time
Antananarivo,(GMT+03:00) Nairobi,Madagascar,-18.91666603,47.53333282,E. Africa Standard Time
Antigua,(GMT-06:00) Guatemala,Guatemala,14.55000019,-90.73332977,Guatemala Standard Time
Antwerp,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Belgium,51.22055435,4.399722099,Romance Standard Time
Apia,(GMT-11:00) Samoa,Samoa,-13.8330555,-171.75,Samoa Standard Time
Aqaba,(GMT+02:00) Jordan,Jordan,29.4972229,34.99666595,Jordan Standard Time
Arad,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,46.18333435,21.33333397,FLE Standard Time
Arequipa,"(GMT-05:00) Bogota, Lima, Quito",Peru,-16.38333321,-71.51667023,SA Pacific Standard Time
Arica,(GMT-04:00) Chile,Chile,-18.45444489,-70.29027557,Chile Standard Time
Arkhangelsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,64.51667023,40.65000153,Russian Standard Time
Arklow,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,52.79999924,-6.150000095,GMT Standard Time
"Armstrong, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,50.44416809,-119.1961136,Pacific Standard Time
Arzamas,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,55.38333511,43.83333206,Russian Standard Time
Ashkhabad,(GMT+05:00) Tashkent,Turkmenistan,37.95000076,58.38333511,West Asia Standard Time
"Ashland, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,42.18527603,-122.6980591,Pacific Standard Time
Asmara,"(GMT+03:00) Kuwait, Riyadh",Eritrea,15.33333302,38.93333435,Arab Standard Time
Astana,(GMT+06:00) Central Asia,Kazakhstan,51.18110657,71.42779541,Central Asia Standard Time
Asuncion,(GMT-04:00) Paraguay,Paraguay,-25.29999924,-57.63333511,Paraguay Standard Time
Athens,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,37.98333359,23.73333359,FLE Standard Time
"Atlanta, GA",(GMT-05:00) Eastern Time (US & Canada),United States,33.75,-84.38305664,Eastern Standard Time
Auckland,"(GMT+12:00) Auckland, Wellington",New Zealand,-36.84999847,174.7666626,New Zealand Standard Time
"Augusta, ME",(GMT-05:00) Eastern Time (US & Canada),United States,44.31638718,-69.78305817,Eastern Standard Time
Aurangabad,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,19.8852787,75.31972504,India Standard Time
"Austin, TX",(GMT-06:00) Central Time (US & Canada),United States,30.26638794,-97.75,Central Standard Time
Avarua,(GMT-10:00) Hawaii,Cook Islands,-21.20000076,-159.7666626,Hawaiian Standard Time
Aveiro,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,40.63333511,-8.649999619,GMT Standard Time
Aylesbury,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.81583405,-0.816666663,GMT Standard Time
Az Zarqa,(GMT+02:00) Jordan,Jordan,32.03333282,36.08333206,Jordan Standard Time
Bacau,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,46.56666565,26.91666603,FLE Standard Time
Bacolod,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,10.67805576,122.9466629,Singapore Standard Time
Badajoz,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,38.88333511,-6.966666698,Romance Standard Time
Baden-Baden,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,48.75,8.233333588,W. Europe Standard Time
Baghdad,(GMT+03:00) Baghdad,Iraq,33.33333206,44.40000153,Arabic Standard Time
Bahawalpur,(GMT+05:00) Pakistan,Pakistan,26.39222145,71.67138672,Pakistan Standard Time
Bahia Blanca,(GMT-03:00) Argentina,Argentina,-38.73333359,-62.26638794,Argentina Standard Time
Bahia Kino,(GMT-07:00) Arizona,Mexico,28.8227787,-111.9363861,US Mountain Standard Time
Baku,(GMT+04:00) Baku,Azerbaijan,40.36639023,49.90000153,Baku Standard Time
Balanga,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,14.67500019,120.5386124,Singapore Standard Time
Balti,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Moldova,47.75888824,27.92583275,FLE Standard Time
"Baltimore, MD",(GMT-05:00) Eastern Time (US & Canada),United States,39.28305435,-76.6166687,Eastern Standard Time
Bamako,(GMT) Greenwich Mean Time,Mali,12.64999962,-8,Greenwich Standard Time
Bandar Seri Begawan,"(GMT+08:00) Kuala Lumpur, Singapore",Brunei,4.933333397,114.9499969,Singapore Standard Time
Bandung,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-6.916666508,107.5999985,SE Asia Standard Time
"Banff, AB",(GMT-07:00) Mountain Time (US & Canada),Canada,51.18083191,-115.5688858,Mountain Standard Time
Bangalore,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.96666622,77.56666565,India Standard Time
Bangkok,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,13.75,100.5166931,SE Asia Standard Time
Bangui,(GMT+01:00) West Central Africa,Central African Republic,4.366666794,18.54999924,W. Central Africa Standard Time
Banja Luka,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Bosnia and Herzegovina,44.76638794,17.18305588,Central European Standard Time
Banjul,(GMT) Greenwich Mean Time,Gambia,13.44999981,-16.58333397,Greenwich Standard Time
Baotou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,40.66666794,109.8000031,China Standard Time
Barcelona,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Spain,41.40000153,2.166666746,W. Europe Standard Time
Barcelona,(GMT-04:30) Venezuela,Venezuela,10.13305569,-64.71666718,Venezuela Standard Time
Bareilly,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,28.35333252,79.40944672,India Standard Time
Bari,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,41.12611008,16.86916733,W. Europe Standard Time
"Barrie, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,44.37805557,-79.70166779,Eastern Standard Time
Basse-Terre,(GMT-04:00) La Paz,Guadeloupe,16,-61.71666718,SA Western Standard Time
Basseterre,(GMT-04:00) La Paz,Saint Kitts and Nevis,17.29999924,-62.73333359,SA Western Standard Time
"Baton Rouge, LA",(GMT-06:00) Central Time (US & Canada),United States,30.45000076,-91.15000153,Central Standard Time
Beijing,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,39.93333435,116.3833313,China Standard Time
Beirut,(GMT+02:00) Beirut,Lebanon,33.86639023,35.51638794,Lebanon Standard Time
Beja,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,38.01666641,-7.866666794,GMT Standard Time
Belfast,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,54.58333206,-5.916666508,GMT Standard Time
Belgorod,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,50.59999847,36.61666489,Russian Standard Time
Belgrade,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Serbia,44.81638718,20.46666718,Central Europe Standard Time
Belize City,(GMT-06:00) Central America,Belize,17.49777794,-88.1866684,Central America Standard Time
"Bellevue, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.61055374,-122.1994476,Pacific Standard Time
Belmopan,(GMT-06:00) Central America,Belize,17.26666641,-88.78333282,Central America Standard Time
Belo Horizonte,(GMT-03:00) Brasilia,Brazil,-19.81583405,-43.95416641,E. South America Standard Time
Belogradchik,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Bulgaria,43.632061,22.69515038,FLE Standard Time
Benevento,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,41.1305542,14.78111076,W. Europe Standard Time
Benxi,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,41.29416656,123.7663879,China Standard Time
Bergen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,60.34999847,5.349999905,W. Europe Standard Time
Berlin,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,52.51666641,13.39999962,W. Europe Standard Time
Bern,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,46.91666794,7.466666698,W. Europe Standard Time
Beziers,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.34166718,3.217777729,Romance Standard Time
Bhopal,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,23.23555565,77.40972137,India Standard Time
Bhubaneswar,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,20.26361084,85.83528137,India Standard Time
Bilbao,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,43.25694275,-2.923611164,Romance Standard Time
"Billings, MT",(GMT-07:00) Mountain Time (US & Canada),United States,45.78277588,-108.5044479,Mountain Standard Time
Biratchowk,(GMT+05:45) Kathmandu,Nepal,26.66916656,87.38111115,Nepal Standard Time
Birmingham,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,52.5,-1.866666675,GMT Standard Time
"Birmingham, AL",(GMT-06:00) Central Time (US & Canada),United States,33.51666641,-86.80000305,Central Standard Time
Bishkek,(GMT+06:00) Central Asia,Kyrgyzstan,42.86666489,74.58333588,Central Asia Standard Time
"Bismarck, ND",(GMT-06:00) Central Time (US & Canada),United States,46.81638718,-100.7830582,Central Standard Time
Bissau,(GMT) Greenwich Mean Time,Guinea-Bissau,11.86666679,-15.60000038,Greenwich Standard Time
Blanes,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,41.67416763,2.791944504,Romance Standard Time
Blantyre,"(GMT+02:00) Harare, Pretoria",Malawi,-15.78611088,35.00583267,South Africa Standard Time
Blantyre-Hamilton,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,55.78333282,-4.116666794,GMT Standard Time
Bloemfontein,"(GMT+02:00) Harare, Pretoria",South Africa,-29.11805534,26.22305489,South Africa Standard Time
Bodrum,(GMT+02:00) Turkey,Turkey,37.04249954,27.43499947,Turkey Standard Time
Bogota,"(GMT-05:00) Bogota, Lima, Quito",Colombia,4.599999905,-74.08333588,SA Pacific Standard Time
"Boise, ID",(GMT-07:00) Mountain Time (US & Canada),United States,43.61639023,-116.1997223,Mountain Standard Time
Bologna,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,44.4944458,11.34916687,W. Europe Standard Time
Bonn,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,50.73333359,7.083333492,W. Europe Standard Time
Bordeaux,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,44.83333206,-0.583333313,Romance Standard Time
"Boston, MA",(GMT-05:00) Eastern Time (US & Canada),United States,42.36639023,-71.06639099,Eastern Standard Time
Braganca,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,41.80722046,-6.758888721,GMT Standard Time
Brasilia,(GMT-03:00) Brasilia,Brazil,-15.7919445,-47.89777756,E. South America Standard Time
Bratislava,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Slovakia,48.15000153,17.11666679,Central Europe Standard Time
Brazzaville,(GMT+01:00) West Central Africa,Congo,-4.266666889,15.28333378,W. Central Africa Standard Time
Bremen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,53.08333206,8.850000381,W. Europe Standard Time
Brest,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,48.40000153,-4.466666698,Romance Standard Time
Bridgetown,(GMT-04:00) La Paz,Barbados,13.10000038,-59.61666489,SA Western Standard Time
Brindisi,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,40.63611221,17.93888855,W. Europe Standard Time
Brisbane,(GMT+10:00) Brisbane,Australia,-27.46666718,153.0166626,E. Australia Standard Time
Bristol,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.48333359,-2.533333302,GMT Standard Time
Brussels,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Belgium,50.83329773,4.333297729,Romance Standard Time
Bucharest,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,44.43333435,26.10000038,FLE Standard Time
Budapest,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Hungary,47.5,19.08333397,Central Europe Standard Time
Buenos Aires,(GMT-03:00) Argentina,Argentina,-34.5830574,-58.66666794,Argentina Standard Time
"Buffalo, NY",(GMT-05:00) Eastern Time (US & Canada),United States,42.88333511,-78.8833313,Eastern Standard Time
Bujumbura,"(GMT+02:00) Harare, Pretoria",Burundi,-3.383333445,29.36666679,South Africa Standard Time
Burgos,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,42.34111023,-3.695833445,Romance Standard Time
Buri Ram,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,14.99638844,103.1125031,SE Asia Standard Time
Bursa,(GMT+02:00) Turkey,Turkey,40.18361282,29.0625,Turkey Standard Time
Busan,(GMT+09:00) Seoul,"Korea, South",35.15777588,129.054718,Korea Standard Time
Butterworth,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,5.396944523,100.4141693,Singapore Standard Time
Cabo San Lucas,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,22.89055634,-109.9166641,Mexico Standard Time 2
Cairns,(GMT+10:00) Brisbane,Australia,-16.92472267,145.7733307,E. Australia Standard Time
Cairo,(GMT+02:00) Cairo,Egypt,30.04999924,31.25,Egypt Standard Time
Calabar,(GMT+01:00) West Central Africa,Nigeria,4.957221985,8.314444542,W. Central Africa Standard Time
"Calgary, AB",(GMT-07:00) Mountain Time (US & Canada),Canada,51.05361176,-114.0625,Mountain Standard Time
Campinas,(GMT-03:00) Brasilia,Brazil,-22.90638924,-47.0616684,E. South America Standard Time
Canberra,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-35.28333282,149.2166595,AUS Eastern Standard Time
Cancun,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,21.14777756,-86.83499908,Mexico Standard Time
"Canmore, AB",(GMT-07:00) Mountain Time (US & Canada),Canada,51.08333206,-115.3333435,Mountain Standard Time
Cannes,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.56666565,7.016666889,Romance Standard Time
"Cannon Beach, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,45.88777924,-123.9627762,Pacific Standard Time
Cape Town,"(GMT+02:00) Harare, Pretoria",South Africa,-33.93333435,18.46666718,South Africa Standard Time
"Capitola, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,36.97527695,-121.9522247,Pacific Standard Time
Caracas,(GMT-04:30) Venezuela,Venezuela,10.5,-66.91666412,Venezuela Standard Time
Carcassonne,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.21250153,2.35611105,Romance Standard Time
Cardiff,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.47805405,-3.177222252,GMT Standard Time
"Carson City, NV",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,39.16666794,-119.7666702,Pacific Standard Time
Cartagena,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,37.61666489,-0.983333349,Romance Standard Time
Casablanca,(GMT) Morocco,Morocco,33.59972382,-7.616666794,Morocco Standard Time
Castelo Branco,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,39.81666565,-7.483333111,GMT Standard Time
Castlebar,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.86666489,-9.300000191,GMT Standard Time
Castries,(GMT-04:00) La Paz,Saint Lucia,14,-60.98333359,SA Western Standard Time
Catamarca,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-28.46611023,-65.78083038,SA Eastern Standard Time
Catania,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,37.50305557,15.08805561,W. Europe Standard Time
Catarman,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,12.50249958,124.6358337,Singapore Standard Time
Cayenne,"(GMT-03:00) Georgetown, South America Eastern Time",French Guiana,4.933333397,-52.33333206,SA Eastern Standard Time
Cebu,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,10.30722237,123.8983307,Singapore Standard Time
Central Hong Kong,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.28333282,114.1666641,China Standard Time
"Champaign, IL",(GMT-06:00) Central Time (US & Canada),United States,40.11639023,-88.24333191,Central Standard Time
Chandigarh,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,30.73333359,76.78333282,India Standard Time
"Chandler, AZ",(GMT-07:00) Arizona,United States,33.30611038,-111.8405533,US Mountain Standard Time
Changchun,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,43.88333511,128.3166656,China Standard Time
Chania,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,35.50916672,24.02527809,FLE Standard Time
"Chantilly, VA",(GMT-05:00) Eastern Time (US & Canada),United States,38.87722397,-77.40888977,Eastern Standard Time
"Charleston, WV",(GMT-05:00) Eastern Time (US & Canada),United States,38.35333252,-81.63527679,Eastern Standard Time
Charlotte Amalie,(GMT-04:00) La Paz,"Virgin Islands, U.S.",18.35000038,-64.93333435,SA Western Standard Time
"Charlotte, NC",(GMT-05:00) Eastern Time (US & Canada),United States,35.23333359,-80.84972382,Eastern Standard Time
"Charlottetown, PE",(GMT-04:00) Atlantic Time (Canada),Canada,46.23527908,-63.12666702,Atlantic Standard Time
"Chattanooga, TN",(GMT-05:00) Eastern Time (US & Canada),United States,35.04999924,-85.31666565,Eastern Standard Time
Chelyabinsk,(GMT+06:00) Ekaterinburg,Russia,55.15000153,61.43333435,Ekaterinburg Standard Time
Chengdu,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,30.67000008,104.0713882,China Standard Time
Chennai,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,13.08333302,80.26667023,India Standard Time
Cherepovets,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,59.13333511,37.88333511,Russian Standard Time
Chernobyl,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,51.26666641,30.23333359,FLE Standard Time
Cheruvathur,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.21583366,75.16139221,India Standard Time
Chiang Mai,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,18.78694534,99,SE Asia Standard Time
"Chicago, IL",(GMT-06:00) Central Time (US & Canada),United States,41.84972382,-87.65000153,Central Standard Time
Chichen Itza,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.67833328,-88.5716629,Mexico Standard Time
Chihuahua,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,28.63330078,-106.0832977,Mexico Standard Time 2
Chimoio,"(GMT+02:00) Harare, Pretoria",Mozambique,-18.99916649,33.38305664,South Africa Standard Time
Chinandega,(GMT-06:00) Central America,Nicaragua,12.63333321,-87.1333313,Central America Standard Time
Chirala,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,15.8283329,80.35666656,India Standard Time
Chisinau,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Moldova,47.02694321,28.84166718,FLE Standard Time
Chita,(GMT+10:00) Yakutsk,Russia,52.04555511,113.4986115,Yakutsk Standard Time
Chittagong,(GMT+06:00) Bangladesh,Bangladesh,22.36666679,91.80000305,Bangladesh Standard Time
Chongqing,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,29.56666565,106.5833359,China Standard Time
Christchurch,"(GMT+12:00) Auckland, Wellington",New Zealand,-43.53333282,172.6333313,New Zealand Standard Time
Cienfuegos,(GMT-05:00) Cuba Standard Time,Cuba,22.16638947,-80.44972229,Cuba Standard Time
"Cincinnati, OH",(GMT-05:00) Eastern Time (US & Canada),United States,39.16666794,-84.44972229,Eastern Standard Time
Ciudad Acuna,(GMT-06:00) Central Time (US & Canada),Mexico,29.31833267,-100.9325027,Central Standard Time
Ciudad Juarez,(GMT-07:00) Mountain Time (US & Canada),Mexico,31.73666573,-106.473053,Mountain Standard Time
"Cleveland, OH",(GMT-05:00) Eastern Time (US & Canada),United States,41.5,-81.69999695,Eastern Standard Time
Cluj,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,46.78333282,23.60000038,FLE Standard Time
Cockburn Town,(GMT-05:00) Eastern Time (US & Canada),Turks and Caicos Islands,21.46666718,-71.1333313,Eastern Standard Time
Coimbatore,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,11.00527763,76.97083282,India Standard Time
Collioure,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,42.51666641,3.083333015,Romance Standard Time
Cologne,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,50.94916534,6.959722042,W. Europe Standard Time
Colombo,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,6.933333397,79.84999847,India Standard Time
"Colorado Springs, CO",(GMT-07:00) Mountain Time (US & Canada),United States,38.83333206,-104.8166656,Mountain Standard Time
"Columbia, SC",(GMT-05:00) Eastern Time (US & Canada),United States,34.01638794,-81,Eastern Standard Time
"Columbus, GA",(GMT-05:00) Eastern Time (US & Canada),United States,32.46666718,-84.98332977,Eastern Standard Time
"Columbus, OH",(GMT-05:00) Eastern Time (US & Canada),United States,39.96666718,-83,Eastern Standard Time
Conakry,(GMT) Greenwich Mean Time,Guinea,9.533333778,-13.6833334,Greenwich Standard Time
